round,policy,material_id,formula,predicted_band_gap_ev,uncertainty_ev,true_band_gap_ev,formation_energy_ev_atom,stable,target_hit,absolute_error_ev,selection_reason,budget_used,budget_total
1,random,demo-2d-0072,MoSe2,1.61605,0.11137,1.16208,-0.83301,True,False,0.45397,uniform random stable candidate,1,20
2,random,demo-2d-0124,SnTe2,2.37444,0.20864,2.13322,-0.78433,True,True,0.24122,uniform random stable candidate,2,20
3,random,demo-2d-0016,MoO2,1.80418,0.27609,2.17754,-0.63946,True,True,0.37336,uniform random stable candidate,3,20
4,random,demo-2d-0150,InS2,2.00694,0.25882,2.40813,-0.66382,True,True,0.40119,uniform random stable candidate,4,20
5,random,demo-2d-0037,GaSe2,2.18922,0.15267,1.68135,-0.60813,True,True,0.50787,uniform random stable candidate,5,20
6,random,demo-2d-0075,VS2,1.97744,0.15264,2.4249,-0.40241,True,True,0.44746,uniform random stable candidate,6,20
7,random,demo-2d-0040,MoS2,1.00168,0.25715,1.35381,-0.5463,True,False,0.35213,uniform random stable candidate,7,20
8,random,demo-2d-0023,BiN2,1.35424,0.30737,1.10733,-0.76669,True,False,0.24691,uniform random stable candidate,8,20
9,random,demo-2d-0000,MoS2,1.45527,0.20455,2.28336,-0.77218,True,True,0.82809,uniform random stable candidate,9,20
10,random,demo-2d-0026,TiO2,2.50981,0.13451,1.97574,-0.6973,True,True,0.53407,uniform random stable candidate,10,20
11,random,demo-2d-0086,InO2,1.03884,0.14689,0.9937,-0.61017,True,False,0.04514,uniform random stable candidate,11,20
12,random,demo-2d-0015,BiS2,1.85298,0.21323,2.27615,-0.50441,True,True,0.42317,uniform random stable candidate,12,20
13,random,demo-2d-0137,WSe2,1.64083,0.26682,1.59481,-0.85059,True,True,0.04602,uniform random stable candidate,13,20
14,random,demo-2d-0033,WN2,1.12506,0.10811,0.57699,-0.78862,True,False,0.54807,uniform random stable candidate,14,20
15,random,demo-2d-0060,SnS2,1.75261,0.1619,2.45241,-0.75297,True,True,0.6998,uniform random stable candidate,15,20
16,random,demo-2d-0067,VSe2,1.47023,0.0777,1.29748,-0.46836,True,False,0.17275,uniform random stable candidate,16,20
17,random,demo-2d-0097,WSe2,1.59008,0.21686,1.56099,-0.46634,True,True,0.02909,uniform random stable candidate,17,20
18,random,demo-2d-0064,MoTe2,1.65741,0.12262,1.89405,-0.77141,True,True,0.23664,uniform random stable candidate,18,20
19,random,demo-2d-0077,GaSe2,1.66283,0.09191,2.03204,-0.57914,True,True,0.36921,uniform random stable candidate,19,20
20,random,demo-2d-0129,WTe2,2.32461,0.15016,2.11354,-0.83482,True,True,0.21107,uniform random stable candidate,20,20
