material_id,formula,prototype,atomic_number_mean,electronegativity_mean,atomic_radius_mean,layer_thickness,symmetry_index,formation_energy_ev_atom,band_gap_ev
demo-2d-0000,MoS2,1H,24.43247,2.00327,1.35946,7.07200,0.14751,-0.77218,2.28336
demo-2d-0001,WO2,1T,48.05419,2.36839,1.38825,6.39880,0.77971,-0.65636,1.38558
demo-2d-0002,TiSe2,Td,30.95644,2.14847,1.03859,6.84716,0.47717,-0.73185,1.42098
demo-2d-0003,VN2,hex,54.68700,1.62329,1.15121,7.69554,0.93285,-0.46584,0.64236
demo-2d-0004,SnTe2,ortho,45.73373,1.44922,1.22232,5.49874,0.32752,-0.97417,1.16206
demo-2d-0005,GaS2,1H,56.01468,2.10065,0.96979,6.29648,0.39537,-0.80144,1.99691
demo-2d-0006,InO2,1T,49.62876,1.99799,1.04316,5.23307,0.76264,-0.83486,1.40909
demo-2d-0007,BiSe2,Td,67.50475,1.68624,1.28597,7.41641,0.50523,-0.58876,1.14197
demo-2d-0008,MoN2,hex,30.12434,1.51770,0.98911,6.26425,0.89248,-0.67282,1.60697
demo-2d-0009,WTe2,ortho,43.38218,1.97675,1.13314,7.20679,0.64534,-0.87825,1.35416
demo-2d-0010,TiS2,1H,68.19109,2.63339,1.38651,5.51094,0.68627,-0.62596,2.60344
demo-2d-0011,VO2,1T,45.10258,1.97256,1.65756,4.85195,0.32966,-0.63651,1.37492
demo-2d-0012,SnSe2,Td,53.40471,2.12646,1.31658,5.31902,0.51504,-0.54120,1.74769
demo-2d-0013,GaN2,hex,44.22073,2.01465,1.61094,6.80139,0.57995,-0.42434,1.17950
demo-2d-0014,InTe2,ortho,35.09948,2.54186,1.02870,6.18453,0.79583,-0.94588,1.93845
demo-2d-0015,BiS2,1H,70.12448,2.60745,1.62395,5.09156,0.11108,-0.50441,2.27615
demo-2d-0016,MoO2,1T,23.21978,2.32182,1.27905,4.93685,0.06333,-0.63946,2.17754
demo-2d-0017,WSe2,Td,68.33763,1.45799,1.58502,3.88876,0.64002,-0.50029,0.95889
demo-2d-0018,TiN2,hex,54.09777,2.17603,1.07381,4.22990,0.60391,-0.62967,1.58470
demo-2d-0019,VTe2,ortho,44.56740,2.28661,1.05789,3.75922,0.60854,-0.45505,1.84555
demo-2d-0020,SnS2,1H,45.25496,1.45976,1.48484,7.46229,0.79427,-0.55589,1.10978
demo-2d-0021,GaO2,1T,40.25011,2.40039,1.36602,3.62282,0.06343,-0.47785,1.90257
demo-2d-0022,InSe2,Td,20.77427,1.80112,1.23272,6.60158,0.07450,-0.97062,1.91796
demo-2d-0023,BiN2,hex,34.39827,1.77386,1.04710,7.53367,0.59304,-0.76669,1.10733
demo-2d-0024,MoTe2,ortho,46.05914,1.91369,1.21914,5.71074,0.69457,-0.56853,1.56706
demo-2d-0025,WS2,1H,28.55667,2.54789,0.98619,5.43279,0.84703,-1.06291,2.68133
demo-2d-0026,TiO2,1T,28.18058,2.27423,1.65225,3.27153,0.55344,-0.69730,1.97574
demo-2d-0027,VSe2,Td,69.65572,1.55851,1.62550,4.62785,0.45409,-0.53860,1.31086
demo-2d-0028,SnN2,hex,34.46510,1.79729,1.16075,5.18753,0.79124,-0.91118,1.66284
demo-2d-0029,GaTe2,ortho,35.59262,1.97667,1.04608,6.74233,0.80688,-0.67737,1.15201
demo-2d-0030,InS2,1H,30.49208,2.58978,1.65290,5.95753,0.43760,-0.66397,1.98618
demo-2d-0031,BiO2,1T,54.20154,2.59956,1.23156,3.41515,0.58390,-0.80215,2.14249
demo-2d-0032,MoSe2,Td,23.92345,2.28082,1.39464,5.55382,0.25371,-0.83198,2.40457
demo-2d-0033,WN2,hex,48.00964,1.48189,1.16097,7.56535,0.21271,-0.78862,0.57699
demo-2d-0034,TiTe2,ortho,57.00735,1.59114,1.45407,5.23446,0.31295,-0.53270,1.31316
demo-2d-0035,VS2,1H,34.98850,1.68912,1.00030,4.74054,0.90315,-0.77376,1.58873
demo-2d-0036,SnO2,1T,18.83322,1.47538,0.96838,3.23971,0.70154,-1.19124,2.01181
demo-2d-0037,GaSe2,Td,36.91657,2.36368,1.43580,6.00453,0.63439,-0.60813,1.68135
demo-2d-0038,InN2,hex,29.64436,1.95147,1.73329,7.16770,0.70214,-0.57650,1.42055
demo-2d-0039,BiTe2,ortho,67.88153,1.85576,1.70765,4.45285,0.74862,-0.51574,1.69633
demo-2d-0040,MoS2,1H,55.54623,1.72642,1.71663,6.75918,0.16620,-0.54630,1.35381
demo-2d-0041,WO2,1T,66.75987,2.05480,1.22399,5.51649,0.73559,-0.42380,1.72164
demo-2d-0042,TiSe2,Td,24.38728,1.51339,1.23323,5.96905,0.67301,-0.64343,1.80540
