round,policy,material_id,formula,predicted_band_gap_ev,uncertainty_ev,true_band_gap_ev,formation_energy_ev_atom,energy_above_hull_ev_atom,is_stable_mp_flag,dimensionality_status,stable,target_hit,exploration_status_query_state,exploration_status_training_eligible,exploration_status_discovery_level,signal_types,signal_rule_version,exploration_status_manual_review_required,exploration_status_budget_position,absolute_error_ev,selection_reason,budget_used,budget_total
1,iterative,demo-2d-0067,VSe2,2.24803,0.34072,2.42619,-0.56136,0.08591,False,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,1,0.17816,target score plus uncertainty; model retrained after feedback,1,20
2,iterative,demo-2d-0066,TiO2,1.62702,0.32422,1.6507,-0.79142,0.0,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,2,0.02368,target score plus uncertainty; model retrained after feedback,2,20
3,iterative,demo-2d-0094,InTe2,1.44628,0.49208,2.24999,-0.89924,0.0,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,3,0.80371,target score plus uncertainty; model retrained after feedback,3,20
4,iterative,demo-2d-0149,GaTe2,2.34349,0.3741,2.07254,-0.74548,0.02378,False,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,4,0.27095,target score plus uncertainty; model retrained after feedback,4,20
5,iterative,demo-2d-0082,TiSe2,2.29988,0.33257,2.80001,-0.82651,0.0,True,confirmed_2d,True,False,queried,True,D0,technical_event_only,0.2.0,False,5,0.50013,target score plus uncertainty; model retrained after feedback,5,20
6,iterative,demo-2d-0144,MoTe2,2.25352,0.47219,2.05706,-0.73093,0.0,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,6,0.19646,target score plus uncertainty; model retrained after feedback,6,20
7,iterative,demo-2d-0137,WSe2,1.73075,0.2189,1.9219,-0.51433,0.00392,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,7,0.19115,target score plus uncertainty; model retrained after feedback,7,20
8,iterative,demo-2d-0099,VTe2,1.53984,0.23522,1.96636,-1.11135,0.0,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,8,0.42652,target score plus uncertainty; model retrained after feedback,8,20
9,iterative,demo-2d-0041,WO2,1.96683,0.27367,1.21307,-0.97773,0.0,True,confirmed_2d,True,False,queried,True,D0,high_confidence_model_anomaly,0.2.0,True,9,0.75376,target score plus uncertainty; model retrained after feedback,9,20
10,iterative,demo-2d-0050,TiS2,1.831,0.21874,2.22768,-0.65019,0.0,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,10,0.39668,target score plus uncertainty; model retrained after feedback,10,20
11,iterative,demo-2d-0152,MoSe2,2.53724,0.34373,2.95392,-0.88584,0.02906,False,confirmed_2d,True,False,queried,True,D0,technical_event_only,0.2.0,False,11,0.41668,target score plus uncertainty; model retrained after feedback,11,20
12,iterative,demo-2d-0042,TiSe2,2.00225,0.2533,2.42475,-0.41564,0.0559,False,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,12,0.4225,target score plus uncertainty; model retrained after feedback,12,20
13,iterative,demo-2d-0046,InO2,1.55115,0.21457,2.20449,-0.66171,0.0,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal|high_confidence_model_anomaly,0.2.0,True,13,0.65334,target score plus uncertainty; model retrained after feedback,13,20
14,iterative,demo-2d-0012,SnSe2,1.54872,0.17978,1.4042,-0.66484,0.0,True,confirmed_2d,True,False,queried,True,D0,technical_event_only,0.2.0,False,14,0.14452,target score plus uncertainty; model retrained after feedback,14,20
15,iterative,demo-2d-0110,InS2,2.13727,0.18642,2.53614,-0.76847,0.0,True,confirmed_2d,True,False,queried,True,D0,technical_event_only,0.2.0,False,15,0.39887,target score plus uncertainty; model retrained after feedback,15,20
16,iterative,demo-2d-0071,BiO2,1.51536,0.28548,1.39989,-0.74978,0.0,True,confirmed_2d,True,False,queried,True,D0,technical_event_only,0.2.0,False,16,0.11547,target score plus uncertainty; model retrained after feedback,16,20
17,iterative,demo-2d-0075,VS2,2.47394,0.23436,2.79468,-1.07129,0.0,True,confirmed_2d,True,False,queried,True,D0,technical_event_only,0.2.0,False,17,0.32074,target score plus uncertainty; model retrained after feedback,17,20
18,iterative,demo-2d-0103,BiN2,2.2607,0.17931,2.21916,-0.85,0.0,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,18,0.04154,target score plus uncertainty; model retrained after feedback,18,20
19,iterative,demo-2d-0089,WTe2,1.93742,0.15808,2.04081,-0.85037,0.0,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,19,0.10339,target score plus uncertainty; model retrained after feedback,19,20
20,iterative,demo-2d-0113,WN2,1.48606,0.19143,1.39644,-0.51902,0.0131,True,confirmed_2d,True,False,queried,True,D0,technical_event_only,0.2.0,False,20,0.08962,target score plus uncertainty; model retrained after feedback,20,20
