round,policy,material_id,formula,predicted_band_gap_ev,uncertainty_ev,true_band_gap_ev,formation_energy_ev_atom,energy_above_hull_ev_atom,is_stable_mp_flag,dimensionality_status,stable,target_hit,exploration_status_query_state,exploration_status_training_eligible,exploration_status_discovery_level,signal_types,signal_rule_version,exploration_status_manual_review_required,exploration_status_budget_position,absolute_error_ev,selection_reason,budget_used,budget_total
1,random,demo-2d-0109,GaTe2,1.56379,0.11723,1.71083,-0.63669,0.03073,False,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,1,0.14704,uniform random stable candidate,1,20
2,random,demo-2d-0048,MoN2,1.77854,0.21046,2.75708,-0.921,0.0,True,confirmed_2d,True,False,queried,True,D0,high_confidence_model_anomaly,0.2.0,True,2,0.97854,uniform random stable candidate,2,20
3,random,demo-2d-0062,InSe2,1.17109,0.34591,1.84708,-0.52868,0.04942,False,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,3,0.67599,uniform random stable candidate,3,20
4,random,demo-2d-0075,VS2,2.23867,0.62736,2.79468,-1.07129,0.0,True,confirmed_2d,True,False,queried,True,D0,technical_event_only,0.2.0,False,4,0.55601,uniform random stable candidate,4,20
5,random,demo-2d-0131,VO2,1.38634,0.33153,0.76348,-0.79174,0.0,True,confirmed_2d,True,False,queried,True,D0,technical_event_only,0.2.0,False,5,0.62286,uniform random stable candidate,5,20
6,random,demo-2d-0157,GaSe2,2.1189,0.17103,1.8625,-1.06157,0.0,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,6,0.2564,uniform random stable candidate,6,20
7,random,demo-2d-0021,GaO2,1.08334,0.36322,1.01222,-0.55139,0.00701,True,confirmed_2d,True,False,queried,True,D0,technical_event_only,0.2.0,False,7,0.07112,uniform random stable candidate,7,20
8,random,demo-2d-0159,BiTe2,1.61092,0.05933,1.51399,-0.95511,0.0,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,8,0.09693,uniform random stable candidate,8,20
9,random,demo-2d-0030,InS2,1.22133,0.15667,1.83463,-0.7114,0.00581,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal|high_confidence_model_anomaly,0.2.0,True,9,0.6133,uniform random stable candidate,9,20
10,random,demo-2d-0138,TiN2,1.37384,0.21741,1.45356,-0.38843,0.07036,False,confirmed_2d,True,False,queried,True,D0,technical_event_only,0.2.0,False,10,0.07972,uniform random stable candidate,10,20
11,random,demo-2d-0070,InS2,2.09303,0.2397,2.89641,-0.85898,0.0,True,confirmed_2d,True,False,queried,True,D0,high_confidence_model_anomaly,0.2.0,True,11,0.80338,uniform random stable candidate,11,20
12,random,demo-2d-0149,GaTe2,2.49171,0.15015,2.07254,-0.74548,0.02378,False,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,12,0.41917,uniform random stable candidate,12,20
13,random,demo-2d-0127,BiSe2,1.35854,0.23908,1.58735,-0.70703,0.0,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,13,0.22881,uniform random stable candidate,13,20
14,random,demo-2d-0134,InTe2,1.58331,0.11587,1.34566,-0.73578,0.0,True,confirmed_2d,True,False,queried,True,D0,technical_event_only,0.2.0,False,14,0.23765,uniform random stable candidate,14,20
15,random,demo-2d-0001,WO2,1.83206,0.22779,1.74754,-0.71739,0.0,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,15,0.08452,uniform random stable candidate,15,20
16,random,demo-2d-0106,TiO2,2.02294,0.09521,1.51968,-0.75555,0.01799,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,16,0.50326,uniform random stable candidate,16,20
17,random,demo-2d-0057,WSe2,2.17645,0.10855,2.51226,-0.59604,0.0,True,confirmed_2d,True,False,queried,True,D0,technical_event_only,0.2.0,False,17,0.33581,uniform random stable candidate,17,20
18,random,demo-2d-0044,SnTe2,2.23443,0.10981,1.83999,-0.72379,0.0,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,18,0.39444,uniform random stable candidate,18,20
19,random,demo-2d-0116,SnO2,2.00547,0.1935,1.27974,-0.8832,0.0,True,confirmed_2d,True,False,queried,True,D0,high_confidence_model_anomaly,0.2.0,True,19,0.72573,uniform random stable candidate,19,20
20,random,demo-2d-0094,InTe2,1.82502,0.21093,2.24999,-0.89924,0.0,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,20,0.42497,uniform random stable candidate,20,20
