round,policy,material_id,formula,predicted_band_gap_ev,uncertainty_ev,true_band_gap_ev,formation_energy_ev_atom,energy_above_hull_ev_atom,is_stable_mp_flag,dimensionality_status,stable,target_hit,exploration_status_query_state,exploration_status_training_eligible,exploration_status_discovery_level,signal_types,signal_rule_version,exploration_status_manual_review_required,exploration_status_budget_position,absolute_error_ev,selection_reason,budget_used,budget_total
1,static_topn,demo-2d-0106,TiO2,1.8501,0.1244,1.51968,-0.75555,0.01799,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,1,0.33042,highest target score from frozen initial model,1,20
2,static_topn,demo-2d-0009,WTe2,1.78714,0.18138,1.63304,-0.70135,0.0,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,2,0.1541,highest target score from frozen initial model,2,20
3,static_topn,demo-2d-0109,GaTe2,1.56379,0.11723,1.71083,-0.63669,0.03073,False,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,3,0.14704,highest target score from frozen initial model,3,20
4,static_topn,demo-2d-0074,TiTe2,2.28672,0.16268,1.9345,-0.6991,0.0,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,4,0.35222,highest target score from frozen initial model,4,20
5,static_topn,demo-2d-0060,SnS2,1.59507,0.17275,1.91906,-0.45917,0.08302,False,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,5,0.32399,highest target score from frozen initial model,5,20
6,static_topn,demo-2d-0066,TiO2,1.69704,0.32051,1.6507,-0.79142,0.0,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,6,0.04634,highest target score from frozen initial model,6,20
7,static_topn,demo-2d-0135,BiS2,2.042,0.2088,2.01361,-0.62973,0.00834,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,7,0.02839,highest target score from frozen initial model,7,20
8,static_topn,demo-2d-0038,InN2,1.62387,0.20427,1.15584,-0.56079,0.00178,True,confirmed_2d,True,False,queried,True,D0,technical_event_only,0.2.0,False,8,0.46803,highest target score from frozen initial model,8,20
9,static_topn,demo-2d-0070,InS2,1.65601,0.13847,2.89641,-0.85898,0.0,True,confirmed_2d,True,False,queried,True,D0,high_confidence_model_anomaly,0.2.0,True,9,1.2404,highest target score from frozen initial model,9,20
10,static_topn,demo-2d-0158,InN2,2.02279,0.18985,2.54883,-0.73601,0.0,True,confirmed_2d,True,False,queried,True,D0,technical_event_only,0.2.0,False,10,0.52604,highest target score from frozen initial model,10,20
11,static_topn,demo-2d-0098,TiN2,2.15685,0.22417,1.67899,-0.31798,0.03813,False,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,11,0.47786,highest target score from frozen initial model,11,20
12,static_topn,demo-2d-0089,WTe2,1.67085,0.18306,2.04081,-0.85037,0.0,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,12,0.36996,highest target score from frozen initial model,12,20
13,static_topn,demo-2d-0133,GaN2,2.10421,0.1418,1.68775,-0.66283,0.0,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,13,0.41646,highest target score from frozen initial model,13,20
14,static_topn,demo-2d-0115,VS2,2.2731,0.2012,2.84087,-0.70413,0.0,True,confirmed_2d,True,False,queried,True,D0,technical_event_only,0.2.0,False,14,0.56777,highest target score from frozen initial model,14,20
15,static_topn,demo-2d-0111,BiO2,1.97637,0.17298,1.90982,-0.40291,0.05846,False,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,15,0.06655,highest target score from frozen initial model,15,20
16,static_topn,demo-2d-0132,SnSe2,2.26044,0.0939,1.81321,-0.70088,0.0,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,16,0.44723,highest target score from frozen initial model,16,20
17,static_topn,demo-2d-0041,WO2,1.90888,0.26329,1.21307,-0.97773,0.0,True,confirmed_2d,True,False,queried,True,D0,high_confidence_model_anomaly,0.2.0,True,17,0.69581,highest target score from frozen initial model,17,20
18,static_topn,demo-2d-0141,GaO2,2.18404,0.19253,1.9974,-0.63894,0.0,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,18,0.18664,highest target score from frozen initial model,18,20
19,static_topn,demo-2d-0048,MoN2,1.67034,0.24469,2.75708,-0.921,0.0,True,confirmed_2d,True,False,queried,True,D0,high_confidence_model_anomaly,0.2.0,True,19,1.08674,highest target score from frozen initial model,19,20
20,static_topn,demo-2d-0128,MoN2,1.67485,0.18711,1.6969,-0.72934,0.0,True,confirmed_2d,True,True,queried,True,D2,target_hit|audited_candidate_signal,0.2.0,False,20,0.02205,highest target score from frozen initial model,20,20
