material_id,policy,is_initial_label,true_band_gap_ev,target_hit,selection_count_20,first_round_selection_count_20,holdout_count_20,mean_selection_round,mean_predicted_band_gap_ev,mean_uncertainty_ev,mean_absolute_error_ev
mp-1018809,random,False,1.3361,False,15,5,5,2.0,1.444167,0.047977,0.108067
mp-1018809,static_topn,False,1.3361,False,0,0,20,,,,
mp-1018809,iterative,False,1.3361,False,20,6,0,1.85,1.447015,0.058962,0.110915
mp-1023924,random,True,1.6605999999999999,True,0,0,0,,,,
mp-1023924,static_topn,True,1.6605999999999999,True,0,0,0,,,,
mp-1023924,iterative,True,1.6605999999999999,True,0,0,0,,,,
mp-1023939,random,False,1.5539,True,19,3,1,2.368421,1.546667,0.23753,0.083209
mp-1023939,static_topn,False,1.5539,True,20,6,0,1.7,1.533553,0.060972,0.025198
mp-1023939,iterative,False,1.5539,True,18,6,2,1.944444,1.523162,0.116679,0.037748
mp-1025874,random,False,1.5093,True,10,4,10,1.7,1.513831,0.090601,0.032104
mp-1025874,static_topn,False,1.5093,True,20,14,0,1.3,1.516032,0.062461,0.018045
mp-1025874,iterative,False,1.5093,True,17,8,3,1.941176,1.509533,0.06992,0.021287
mp-1027525,random,True,1.4639999999999997,False,0,0,0,,,,
mp-1027525,static_topn,True,1.4639999999999997,False,0,0,0,,,,
mp-1027525,iterative,True,1.4639999999999997,False,0,0,0,,,,
mp-1434,random,True,1.3839000000000006,False,0,0,0,,,,
mp-1434,static_topn,True,1.3839000000000006,False,0,0,0,,,,
mp-1434,iterative,True,1.3839000000000006,False,0,0,0,,,,
mp-2815,random,False,1.4648999999999996,False,16,8,4,1.75,1.430532,0.05545,0.037964
mp-2815,static_topn,False,1.4648999999999996,False,20,0,0,3.0,1.45515,0.062117,0.01554
mp-2815,iterative,False,1.4648999999999996,False,5,0,15,3.0,1.390497,0.048539,0.074403
