seed,policy,d2_hits,hit_rate,mean_absolute_error_ev,first_d2_budget,stability_violations,queried_material_ids,unqueried_material_ids
1001,random,1,0.3333,0.0401,3,0,mp-2815|mp-1018809|mp-1023939,mp-1025874
1001,static_topn,2,0.6667,0.013,1,0,mp-1025874|mp-1023939|mp-2815,mp-1018809
1001,iterative,2,0.6667,0.0371,1,0,mp-1025874|mp-1023939|mp-1018809,mp-2815
1002,random,2,0.6667,0.0377,2,0,mp-2815|mp-1025874|mp-1023939,mp-1018809
1002,static_topn,2,0.6667,0.0287,1,0,mp-1023939|mp-1025874|mp-2815,mp-1018809
1002,iterative,2,0.6667,0.0703,2,0,mp-1018809|mp-1023939|mp-1025874,mp-2815
1003,random,1,0.3333,0.1876,3,0,mp-2815|mp-1018809|mp-1023939,mp-1025874
1003,static_topn,2,0.6667,0.0164,1,0,mp-1025874|mp-1023939|mp-2815,mp-1018809
1003,iterative,2,0.6667,0.0878,2,0,mp-1018809|mp-1023939|mp-1025874,mp-2815
1004,random,2,0.6667,0.0224,2,0,mp-2815|mp-1023939|mp-1025874,mp-1018809
1004,static_topn,2,0.6667,0.0213,1,0,mp-1025874|mp-1023939|mp-2815,mp-1018809
1004,iterative,2,0.6667,0.0457,1,0,mp-1025874|mp-1018809|mp-1023939,mp-2815
1005,random,2,0.6667,0.0647,1,0,mp-1025874|mp-1018809|mp-1023939,mp-2815
1005,static_topn,2,0.6667,0.0393,1,0,mp-1025874|mp-1023939|mp-2815,mp-1018809
1005,iterative,1,0.3333,0.0728,2,0,mp-1018809|mp-1023939|mp-2815,mp-1025874
1006,random,1,0.3333,0.1451,3,0,mp-1018809|mp-2815|mp-1023939,mp-1025874
1006,static_topn,2,0.6667,0.0213,1,0,mp-1025874|mp-1023939|mp-2815,mp-1018809
1006,iterative,1,0.3333,0.0787,1,0,mp-1025874|mp-1018809|mp-2815,mp-1023939
1007,random,1,0.3333,0.0702,2,0,mp-2815|mp-1023939|mp-1018809,mp-1025874
1007,static_topn,2,0.6667,0.0243,1,0,mp-1025874|mp-1023939|mp-2815,mp-1018809
1007,iterative,2,0.6667,0.0547,1,0,mp-1025874|mp-1018809|mp-1023939,mp-2815
1008,random,1,0.3333,0.0653,1,0,mp-1023939|mp-1018809|mp-2815,mp-1025874
1008,static_topn,2,0.6667,0.0193,1,0,mp-1023939|mp-1025874|mp-2815,mp-1018809
1008,iterative,2,0.6667,0.0484,2,0,mp-1018809|mp-1023939|mp-1025874,mp-2815
1009,random,1,0.3333,0.0525,1,0,mp-1023939|mp-2815|mp-1018809,mp-1025874
1009,static_topn,2,0.6667,0.0039,1,0,mp-1025874|mp-1023939|mp-2815,mp-1018809
1009,iterative,1,0.3333,0.0867,2,0,mp-1018809|mp-1023939|mp-2815,mp-1025874
1010,random,2,0.6667,0.0405,1,0,mp-1025874|mp-1023939|mp-1018809,mp-2815
1010,static_topn,2,0.6667,0.0147,1,0,mp-1025874|mp-1023939|mp-2815,mp-1018809
1010,iterative,2,0.6667,0.0585,1,0,mp-1025874|mp-1018809|mp-1023939,mp-2815
1011,random,2,0.6667,0.0631,1,0,mp-1025874|mp-1018809|mp-1023939,mp-2815
1011,static_topn,2,0.6667,0.0128,1,0,mp-1025874|mp-1023939|mp-2815,mp-1018809
1011,iterative,2,0.6667,0.0631,1,0,mp-1025874|mp-1018809|mp-1023939,mp-2815
1012,random,1,0.3333,0.0589,2,0,mp-2815|mp-1023939|mp-1018809,mp-1025874
1012,static_topn,2,0.6667,0.0311,1,0,mp-1023939|mp-1025874|mp-2815,mp-1018809
1012,iterative,2,0.6667,0.0522,1,0,mp-1023939|mp-1025874|mp-1018809,mp-2815
1013,random,1,0.3333,0.1374,2,0,mp-1018809|mp-1023939|mp-2815,mp-1025874
1013,static_topn,2,0.6667,0.0183,1,0,mp-1025874|mp-1023939|mp-2815,mp-1018809
1013,iterative,1,0.3333,0.0677,1,0,mp-1025874|mp-1018809|mp-2815,mp-1023939
1014,random,1,0.3333,0.0704,2,0,mp-1018809|mp-1025874|mp-2815,mp-1023939
1014,static_topn,2,0.6667,0.0313,1,0,mp-1023939|mp-1025874|mp-2815,mp-1018809
1014,iterative,1,0.3333,0.0793,1,0,mp-1023939|mp-1018809|mp-2815,mp-1025874
1015,random,2,0.6667,0.0267,1,0,mp-1025874|mp-2815|mp-1023939,mp-1018809
1015,static_topn,2,0.6667,0.0188,1,0,mp-1025874|mp-1023939|mp-2815,mp-1018809
1015,iterative,2,0.6667,0.0376,1,0,mp-1025874|mp-1018809|mp-1023939,mp-2815
1016,random,2,0.6667,0.01,2,0,mp-2815|mp-1025874|mp-1023939,mp-1018809
1016,static_topn,2,0.6667,0.0165,1,0,mp-1023939|mp-1025874|mp-2815,mp-1018809
1016,iterative,2,0.6667,0.0537,1,0,mp-1023939|mp-1018809|mp-1025874,mp-2815
1017,random,2,0.6667,0.0091,2,0,mp-2815|mp-1025874|mp-1023939,mp-1018809
1017,static_topn,2,0.6667,0.0081,1,0,mp-1025874|mp-1023939|mp-2815,mp-1018809
1017,iterative,2,0.6667,0.0517,2,0,mp-1018809|mp-1023939|mp-1025874,mp-2815
1018,random,2,0.6667,0.0921,2,0,mp-1018809|mp-1025874|mp-1023939,mp-2815
1018,static_topn,2,0.6667,0.0161,1,0,mp-1025874|mp-1023939|mp-2815,mp-1018809
1018,iterative,2,0.6667,0.0435,1,0,mp-1023939|mp-1018809|mp-1025874,mp-2815
1019,random,1,0.3333,0.1425,2,0,mp-1018809|mp-1023939|mp-2815,mp-1025874
1019,static_topn,2,0.6667,0.0241,1,0,mp-1023939|mp-1025874|mp-2815,mp-1018809
