seed,policy,confirmatory_role,d2_hits,hit_rate,first_d2_budget,mean_absolute_error_ev,formula_coverage,stability_violations,unrevealed_count,queried_material_ids
2001,random,required_baseline,3,0.375,3,0.251339,4,0,16,mp-1821|mp-602|mp-1023936|mp-1025572|mp-1028441|mp-1023933|mp-1023934|mp-1023938
2001,static_topn,required_baseline,4,0.5,3,0.234976,4,0,16,mp-1023940|mp-1023938|mp-1023937|mp-1023936|mp-1023935|mp-1023934|mp-1023925|mp-1023933
2001,iterative_w035,primary_policy,4,0.5,4,0.325892,4,0,16,mp-1023935|mp-1023934|mp-1030319|mp-1023937|mp-1023925|mp-1023933|mp-1821|mp-9813
2001,iterative_w015,diagnostic_ablation_only,5,0.625,2,0.204735,4,0,16,mp-1023935|mp-1023937|mp-1023934|mp-1023925|mp-1023933|mp-1025571|mp-1023940|mp-1023936
2001,pure_uncertainty,diagnostic_ablation_only,1,0.125,5,0.383916,4,0,16,mp-1821|mp-1028698|mp-1023935|mp-7459|mp-224|mp-1023934|mp-602|mp-1030319
2002,random,required_baseline,4,0.5,1,0.385056,4,0,16,mp-1023937|mp-1023934|mp-1027692|mp-1025576|mp-1023936|mp-9813|mp-1028441|mp-1023940
2002,static_topn,required_baseline,4,0.5,3,0.234251,4,0,16,mp-1023940|mp-1023938|mp-1023937|mp-1023936|mp-1023935|mp-1023934|mp-1023925|mp-1023933
2002,iterative_w035,primary_policy,3,0.375,6,0.31054,4,0,16,mp-1023935|mp-1027692|mp-1023934|mp-7581|mp-1821|mp-9813|mp-224|mp-1023925
2002,iterative_w015,diagnostic_ablation_only,4,0.5,3,0.234157,4,0,16,mp-1023935|mp-1027692|mp-1023937|mp-1023934|mp-1023925|mp-1023936|mp-1023933|mp-1023940
2002,pure_uncertainty,diagnostic_ablation_only,1,0.125,5,0.458999,4,0,16,mp-1023935|mp-1028698|mp-1821|mp-7459|mp-9813|mp-1023934|mp-602|mp-1030319
2003,random,required_baseline,2,0.25,1,0.236486,4,0,16,mp-9813|mp-1018807|mp-1028698|mp-1023937|mp-1023940|mp-1025576|mp-1025572|mp-1023934
2003,static_topn,required_baseline,4,0.5,3,0.251204,4,0,16,mp-1023940|mp-1023938|mp-1023937|mp-1023936|mp-1023935|mp-1023934|mp-1023925|mp-1023933
2003,iterative_w035,primary_policy,3,0.375,3,0.340529,4,0,16,mp-1023935|mp-1023934|mp-1023937|mp-1023925|mp-1821|mp-1023936|mp-7459|mp-1028698
2003,iterative_w015,diagnostic_ablation_only,5,0.625,2,0.231247,4,0,16,mp-1023935|mp-1023937|mp-1023934|mp-1023925|mp-1023933|mp-1023940|mp-1023936|mp-1025571
2003,pure_uncertainty,diagnostic_ablation_only,1,0.125,4,0.49624,4,0,16,mp-1023935|mp-1821|mp-7459|mp-9813|mp-602|mp-1030319|mp-1028698|mp-1027692
2004,random,required_baseline,3,0.375,2,0.31881,4,0,16,mp-1634|mp-1023937|mp-1025572|mp-1028441|mp-1023925|mp-1027692|mp-1025576|mp-1028698
2004,static_topn,required_baseline,4,0.5,3,0.259073,4,0,16,mp-1023940|mp-1023938|mp-1023937|mp-1023936|mp-1023935|mp-1023934|mp-1023925|mp-1023933
2004,iterative_w035,primary_policy,3,0.375,3,0.396368,4,0,16,mp-1821|mp-1023935|mp-224|mp-1025572|mp-7459|mp-1023934|mp-9813|mp-1023937
2004,iterative_w015,diagnostic_ablation_only,5,0.625,3,0.195449,4,0,16,mp-1023935|mp-1023934|mp-1023937|mp-1023925|mp-1023933|mp-1023936|mp-1025571|mp-1025572
2004,pure_uncertainty,diagnostic_ablation_only,2,0.25,7,0.325421,4,0,16,mp-1821|mp-1023935|mp-602|mp-1028698|mp-7459|mp-1023934|mp-9813|mp-224
2005,random,required_baseline,2,0.25,6,0.260055,4,0,16,mp-1018807|mp-1634|mp-1023935|mp-1025799|mp-1023938|mp-1023936|mp-1028441|mp-1023934
2005,static_topn,required_baseline,4,0.5,3,0.231123,4,0,16,mp-1023940|mp-1023938|mp-1023937|mp-1023936|mp-1023935|mp-1023934|mp-1023925|mp-1023933
2005,iterative_w035,primary_policy,2,0.25,5,0.40142,4,0,16,mp-1821|mp-1023935|mp-7459|mp-1023934|mp-1023933|mp-1030319|mp-9813|mp-1028698
2005,iterative_w015,diagnostic_ablation_only,5,0.625,3,0.215407,4,0,16,mp-1023935|mp-1023934|mp-1023937|mp-1023925|mp-1023933|mp-1023940|mp-1023936|mp-9813
2005,pure_uncertainty,diagnostic_ablation_only,2,0.25,6,0.399227,3,0,16,mp-1821|mp-1023935|mp-7459|mp-1028698|mp-1025572|mp-1023936|mp-9813|mp-1030319
2006,random,required_baseline,5,0.625,2,0.328264,4,0,16,mp-1025576|mp-9813|mp-1023937|mp-1023933|mp-1025571|mp-1023938|mp-1018807|mp-1023925
2006,static_topn,required_baseline,4,0.5,3,0.232001,4,0,16,mp-1023940|mp-1023938|mp-1023937|mp-1023936|mp-1023935|mp-1023934|mp-1023925|mp-1023933
2006,iterative_w035,primary_policy,4,0.5,5,0.221399,4,0,16,mp-1821|mp-1023935|mp-1028698|mp-1023934|mp-9813|mp-1023925|mp-1023937|mp-1023936
2006,iterative_w015,diagnostic_ablation_only,5,0.625,3,0.215751,4,0,16,mp-1023935|mp-1023934|mp-1023937|mp-1023925|mp-1023933|mp-9813|mp-1023936|mp-1025572
2006,pure_uncertainty,diagnostic_ablation_only,2,0.25,5,0.414829,4,0,16,mp-1821|mp-1023935|mp-1028698|mp-1023934|mp-9813|mp-7459|mp-1030319|mp-1028441
2007,random,required_baseline,1,0.125,6,0.388555,4,0,16,mp-1025576|mp-1028698|mp-1023935|mp-1018807|mp-1821|mp-1028441|mp-7581|mp-1023940
2007,static_topn,required_baseline,4,0.5,3,0.231252,4,0,16,mp-1023940|mp-1023938|mp-1023937|mp-1023936|mp-1023935|mp-1023934|mp-1023925|mp-1023933
2007,iterative_w035,primary_policy,5,0.625,3,0.267155,4,0,16,mp-1023935|mp-1023934|mp-1023937|mp-1023925|mp-9813|mp-1821|mp-1023936|mp-1028441
2007,iterative_w015,diagnostic_ablation_only,5,0.625,3,0.197073,4,0,16,mp-1023935|mp-1023934|mp-1023937|mp-1023925|mp-1023933|mp-1023936|mp-1025571|mp-1025572
2007,pure_uncertainty,diagnostic_ablation_only,2,0.25,7,0.418773,4,0,16,mp-1023935|mp-1821|mp-602|mp-7459|mp-1030319|mp-1023934|mp-9813|mp-224
2008,random,required_baseline,2,0.25,3,0.310526,3,0,16,mp-1023935|mp-1025572|mp-1025571|mp-224|mp-1025576|mp-1023938|mp-602|mp-1821
2008,static_topn,required_baseline,3,0.375,1,0.236427,4,0,16,mp-1023937|mp-1023936|mp-1023935|mp-1023934|mp-1023940|mp-1023938|mp-1023925|mp-1025799
2008,iterative_w035,primary_policy,4,0.5,3,0.233316,4,0,16,mp-1023935|mp-1023934|mp-1023937|mp-9813|mp-1821|mp-1023936|mp-224|mp-1028698
2008,iterative_w015,diagnostic_ablation_only,5,0.625,3,0.168839,4,0,16,mp-1023935|mp-1023934|mp-1023937|mp-1023936|mp-9813|mp-1025572|mp-1023925|mp-1023933
2008,pure_uncertainty,diagnostic_ablation_only,2,0.25,4,0.404153,4,0,16,mp-1821|mp-1028698|mp-1023935|mp-1023936|mp-7459|mp-1023934|mp-9813|mp-1030319
2009,random,required_baseline,3,0.375,3,0.191434,4,0,16,mp-7581|mp-1023940|mp-1023937|mp-1023938|mp-1025571|mp-602|mp-1018807|mp-1023936
2009,static_topn,required_baseline,4,0.5,1,0.222507,4,0,16,mp-1023937|mp-1023936|mp-1023935|mp-1023934|mp-1023940|mp-1023925|mp-1023938|mp-1023933
2009,iterative_w035,primary_policy,3,0.375,3,0.224574,4,0,16,mp-1023935|mp-1023934|mp-1023937|mp-1028441|mp-1821|mp-9813|mp-1028698|mp-7581
2009,iterative_w015,diagnostic_ablation_only,5,0.625,3,0.194306,4,0,16,mp-1023935|mp-1023934|mp-1023937|mp-1025571|mp-1023925|mp-1023933|mp-1023936|mp-1023940
2009,pure_uncertainty,diagnostic_ablation_only,1,0.125,7,0.406859,4,0,16,mp-1023935|mp-1821|mp-7459|mp-1028698|mp-1023934|mp-602|mp-9813|mp-1025572
2010,random,required_baseline,1,0.125,4,0.232906,4,0,16,mp-1821|mp-1028698|mp-1023935|mp-9813|mp-1018807|mp-1634|mp-7581|mp-1025572
2010,static_topn,required_baseline,4,0.5,3,0.255632,4,0,16,mp-1023940|mp-1023938|mp-1023937|mp-1023936|mp-1023935|mp-1023934|mp-1023925|mp-1023933
2010,iterative_w035,primary_policy,5,0.625,3,0.349452,4,0,16,mp-1023935|mp-1023934|mp-1023937|mp-1023925|mp-1821|mp-9813|mp-1028441|mp-1023936
2010,iterative_w015,diagnostic_ablation_only,5,0.625,3,0.274229,4,0,16,mp-1023935|mp-1023934|mp-1023937|mp-1023925|mp-1023940|mp-1023936|mp-1023933|mp-1025571
2010,pure_uncertainty,diagnostic_ablation_only,3,0.375,6,0.465876,4,0,16,mp-1023935|mp-1821|mp-7459|mp-1028698|mp-1023934|mp-224|mp-1023936|mp-1023937
2011,random,required_baseline,2,0.25,1,0.240148,4,0,16,mp-1023933|mp-1028698|mp-1028441|mp-1023938|mp-1634|mp-1025572|mp-1025576|mp-1018807
2011,static_topn,required_baseline,2,0.25,6,0.678454,4,0,16,mp-1030319|mp-1025799|mp-1025576|mp-1023940|mp-1023938|mp-1023937|mp-1023936|mp-1023935
2011,iterative_w035,primary_policy,3,0.375,5,0.360988,4,0,16,mp-1030319|mp-1023935|mp-1023934|mp-1821|mp-9813|mp-224|mp-1023933|mp-1028698
2011,iterative_w015,diagnostic_ablation_only,4,0.5,2,0.298623,4,0,16,mp-1030319|mp-1023937|mp-1023935|mp-1023936|mp-1023925|mp-1023934|mp-1023940|mp-9813
2011,pure_uncertainty,diagnostic_ablation_only,3,0.375,5,0.277545,4,0,16,mp-1821|mp-1023935|mp-1028698|mp-1023934|mp-9813|mp-224|mp-7459|mp-1023933
2012,random,required_baseline,3,0.375,3,0.283279,4,0,16,mp-602|mp-1018807|mp-1028441|mp-1023933|mp-9813|mp-7581|mp-1023940|mp-7459
2012,static_topn,required_baseline,4,0.5,3,0.233354,4,0,16,mp-1023940|mp-1023938|mp-1023937|mp-1023936|mp-1023935|mp-1023934|mp-1023925|mp-1023933
2012,iterative_w035,primary_policy,3,0.375,5,0.235252,4,0,16,mp-1821|mp-1023935|mp-1023934|mp-1025572|mp-9813|mp-602|mp-1023933|mp-1023925
2012,iterative_w015,diagnostic_ablation_only,4,0.5,3,0.224755,4,0,16,mp-1023938|mp-1023934|mp-1023937|mp-1023935|mp-1023925|mp-1023940|mp-1023933|mp-1023936
2012,pure_uncertainty,diagnostic_ablation_only,2,0.25,6,0.501731,4,0,16,mp-1821|mp-1023935|mp-7459|mp-1030319|mp-1023934|mp-224|mp-1028698|mp-9813
2013,random,required_baseline,2,0.25,3,0.324239,3,0,16,mp-1027692|mp-1023934|mp-224|mp-1018807|mp-7459|mp-9813|mp-1025799|mp-1023938
2013,static_topn,required_baseline,4,0.5,1,0.223624,4,0,16,mp-1023937|mp-1023936|mp-1023935|mp-1023934|mp-1023940|mp-1023938|mp-1023925|mp-1023933
2013,iterative_w035,primary_policy,3,0.375,5,0.221839,4,0,16,mp-1821|mp-1023935|mp-1028698|mp-1025572|mp-9813|mp-1023934|mp-1023925|mp-1023937
2013,iterative_w015,diagnostic_ablation_only,4,0.5,3,0.225685,4,0,16,mp-1023935|mp-1023934|mp-1023937|mp-1023925|mp-9813|mp-1023933|mp-7581|mp-1025572
2013,pure_uncertainty,diagnostic_ablation_only,2,0.25,6,0.313267,4,0,16,mp-1821|mp-1023935|mp-1028698|mp-602|mp-7459|mp-1023936|mp-9813|mp-1023934
2014,random,required_baseline,1,0.125,5,0.349522,3,0,16,mp-1023935|mp-1025572|mp-1023938|mp-1821|mp-1023936|mp-1027692|mp-602|mp-1025576
2014,static_topn,required_baseline,4,0.5,3,0.234957,4,0,16,mp-1023940|mp-1023938|mp-1023937|mp-1023936|mp-1023935|mp-1023934|mp-1023925|mp-1023933
2014,iterative_w035,primary_policy,5,0.625,3,0.208771,4,0,16,mp-1023935|mp-1023934|mp-1023937|mp-1023925|mp-1821|mp-9813|mp-1028441|mp-1023936
2014,iterative_w015,diagnostic_ablation_only,6,0.75,3,0.178189,4,0,16,mp-1023935|mp-1023934|mp-1023937|mp-1023925|mp-1023933|mp-1025571|mp-1023936|mp-9813
2014,pure_uncertainty,diagnostic_ablation_only,2,0.25,6,0.378431,4,0,16,mp-1821|mp-1023935|mp-7459|mp-1028698|mp-1023934|mp-1028441|mp-1025572|mp-1023936
2015,random,required_baseline,4,0.5,3,0.37012,4,0,16,mp-1023935|mp-1025576|mp-1023937|mp-1023936|mp-1027692|mp-224|mp-1023933|mp-7581
2015,static_topn,required_baseline,4,0.5,2,0.233491,4,0,16,mp-1023938|mp-1023937|mp-1023936|mp-1023935|mp-1023934|mp-1023940|mp-1023925|mp-1023933
2015,iterative_w035,primary_policy,4,0.5,4,0.300281,4,0,16,mp-1030319|mp-1023935|mp-1023934|mp-1023937|mp-1023925|mp-1023933|mp-1821|mp-9813
2015,iterative_w015,diagnostic_ablation_only,5,0.625,2,0.227609,4,0,16,mp-1023935|mp-1023937|mp-1023934|mp-1023925|mp-1023933|mp-1023936|mp-1025571|mp-1025572
2015,pure_uncertainty,diagnostic_ablation_only,2,0.25,6,0.368266,4,0,16,mp-1821|mp-1023935|mp-602|mp-7459|mp-1028698|mp-9813|mp-1023934|mp-1023936
2016,random,required_baseline,3,0.375,1,0.351759,4,0,16,mp-1023925|mp-1025576|mp-1025799|mp-1023937|mp-9813|mp-7459|mp-1023940|mp-1821
2016,static_topn,required_baseline,4,0.5,3,0.23278,4,0,16,mp-1023940|mp-1023938|mp-1023937|mp-1023936|mp-1023935|mp-1023934|mp-1023925|mp-1023933
2016,iterative_w035,primary_policy,2,0.25,2,0.349701,4,0,16,mp-1023935|mp-1023936|mp-1821|mp-1028441|mp-1028698|mp-1023934|mp-1025572|mp-7459
2016,iterative_w015,diagnostic_ablation_only,5,0.625,3,0.214843,4,0,16,mp-1023935|mp-1023934|mp-1023937|mp-1023925|mp-1023936|mp-1023933|mp-9813|mp-1025572
2016,pure_uncertainty,diagnostic_ablation_only,2,0.25,6,0.43772,4,0,16,mp-1023935|mp-1821|mp-1028698|mp-7459|mp-1023934|mp-9813|mp-1030319|mp-1023936
2017,random,required_baseline,3,0.375,1,0.411715,4,0,16,mp-1023925|mp-1030319|mp-1821|mp-1023937|mp-1025799|mp-7581|mp-1025576|mp-1028441
2017,static_topn,required_baseline,4,0.5,3,0.223274,4,0,16,mp-1023940|mp-1023938|mp-1023937|mp-1023936|mp-1023935|mp-1023934|mp-1023925|mp-1023933
2017,iterative_w035,primary_policy,3,0.375,5,0.411822,4,0,16,mp-1023935|mp-1821|mp-1023934|mp-1028698|mp-9813|mp-1028441|mp-7459|mp-1023933
2017,iterative_w015,diagnostic_ablation_only,4,0.5,2,0.207248,4,0,16,mp-1023935|mp-1023937|mp-1023936|mp-1028441|mp-1821|mp-1025572|mp-1023934|mp-1025571
2017,pure_uncertainty,diagnostic_ablation_only,3,0.375,5,0.345747,4,0,16,mp-1821|mp-7459|mp-1023935|mp-1028698|mp-9813|mp-1023934|mp-1023936|mp-224
2018,random,required_baseline,3,0.375,2,0.312808,4,0,16,mp-1030319|mp-1023933|mp-1023934|mp-1023925|mp-9813|mp-1025572|mp-1821|mp-1027692
2018,static_topn,required_baseline,4,0.5,3,0.236339,4,0,16,mp-1023940|mp-1023938|mp-1023937|mp-1023936|mp-1023935|mp-1023934|mp-1023925|mp-1023933
2018,iterative_w035,primary_policy,2,0.25,5,0.269347,4,0,16,mp-1821|mp-1028698|mp-1023935|mp-1025572|mp-9813|mp-1023934|mp-1023936|mp-7459
2018,iterative_w015,diagnostic_ablation_only,5,0.625,4,0.238431,4,0,16,mp-1023935|mp-1023934|mp-1027692|mp-1028441|mp-1023925|mp-1023933|mp-1023937|mp-1025571
2018,pure_uncertainty,diagnostic_ablation_only,1,0.125,6,0.376776,4,0,16,mp-1821|mp-1028698|mp-1023935|mp-602|mp-7459|mp-224|mp-1023934|mp-1030319
2019,random,required_baseline,4,0.5,4,0.262676,4,0,16,mp-1023934|mp-1023935|mp-1030319|mp-1023936|mp-1821|mp-1025571|mp-224|mp-1023925
2019,static_topn,required_baseline,4,0.5,3,0.231328,4,0,16,mp-1023940|mp-1023938|mp-1023937|mp-1023936|mp-1023935|mp-1023934|mp-1023925|mp-1023933
2019,iterative_w035,primary_policy,3,0.375,4,0.26478,4,0,16,mp-1023935|mp-1027692|mp-1023934|mp-1023937|mp-1821|mp-1028698|mp-1023936|mp-9813
2019,iterative_w015,diagnostic_ablation_only,4,0.5,4,0.220378,4,0,16,mp-1023935|mp-1027692|mp-1023934|mp-1023937|mp-1023933|mp-1023925|mp-1023940|mp-1023936
2019,pure_uncertainty,diagnostic_ablation_only,2,0.25,4,0.396793,4,0,16,mp-1821|mp-1028698|mp-1023935|mp-9813|mp-7459|mp-1030319|mp-1023934|mp-224
2020,random,required_baseline,1,0.125,2,0.246799,4,0,16,mp-1025572|mp-1023937|mp-602|mp-1025799|mp-1821|mp-1027692|mp-1634|mp-1023938
2020,static_topn,required_baseline,4,0.5,1,0.220656,4,0,16,mp-1023937|mp-1023936|mp-1023935|mp-1023934|mp-1023940|mp-1023938|mp-1023925|mp-1023933
2020,iterative_w035,primary_policy,4,0.5,4,0.348566,4,0,16,mp-1023935|mp-1023934|mp-1027692|mp-1023937|mp-1023925|mp-1023933|mp-1821|mp-9813
2020,iterative_w015,diagnostic_ablation_only,4,0.5,4,0.300563,4,0,16,mp-1023935|mp-1023934|mp-1027692|mp-1023937|mp-1023925|mp-1023940|mp-1023936|mp-1023933
2020,pure_uncertainty,diagnostic_ablation_only,1,0.125,6,0.494142,4,0,16,mp-1821|mp-1030319|mp-1023935|mp-602|mp-1023934|mp-9813|mp-1028698|mp-7459
